,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.7252,0.4707,2.5238,2.4656,2.6438,0.4646,2.4426,2.3844,60.2927,61.4868,60.8418,100.0,0.0,0.0,0.0,0.0,66.6628
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.3066,0.1258,2.1132,2.0854,2.0783,0.124,1.9151,1.8883,65.1922,70.4383,67.6771,0.0092,99.9908,0.0,0.0,0.0,64.3726
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.5724,0.103,0.5478,0.5185,0.5689,0.1028,0.5453,0.5158,63.7599,65.5749,64.6274,0.0046,99.9954,0.0,0.0,0.0,65.1494
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.6968,0.1309,0.6595,0.6317,0.6814,0.1294,0.6493,0.62,60.6513,66.2075,63.2769,0.0,0.0,99.99,0.01,0.0,46.7066
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,2.6071,0.4088,2.4101,2.3621,2.4738,0.4044,2.2905,2.2383,58.0202,63.7404,60.7065,0.0,0.0,0.0,0.0,100.0,43.125
tr_TR_tr_TR_baseline,29.9756,11.8443,25.7618,25.7821,29.9086,11.817,25.7034,25.7285,75.9805,75.1649,75.5045,0.0292,0.1942,0.0,0.0,99.7765,23.1422
tr_TR_tr_TR_mono,22.6323,7.0906,19.2866,19.2803,22.5156,7.0673,19.1864,19.1933,73.4159,72.9146,73.0861,0.1832,0.0033,0.0,0.0,99.8134,21.82
